nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
chenes de Macquin;2012;Saint Emilion;Red;1325;1325-2012;43,5;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,36
Climens;2012;Sauternes;Sweet;1347;1347-2012;43,55;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;91,84
Chasse Spleen;2005;Moulis en Medoc;Red;1321;1321-2005;43,57;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,7
Poujeaux;2003;Moulis en Medoc;Red;1993;1993-2003;43,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,35
Lynch Moussas;1997;Pauillac;Red;1424;1424-1997;43,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;80,93
Langoa Barton;2013;Saint Julien;Red;2014;2014-2013;43,91;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,41
Rieussec;1997;Sauternes;Sweet;2030;2030-1997;43,91;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,11
Haut Bages Liberal;2011;Pauillac;Red;1391;1391-2011;44;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,26
de Pez;2010;Saint Estephe;Red;1450;1450-2010;44;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,92
Jean Faure;2009;Saint Emilion;Red;1653;1653-2009;44;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,95
Branaire Ducru;2008;Saint Julien;Red;1788;1788-2008;44,04;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,06
Beau Sejour Becot;2014;Saint Emilion;Red;1202;1202-2014;44,19;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,49
Rieussec;1996;Sauternes;Sweet;2030;2030-1996;44,35;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;90,98
Villemaurine;2011;Saint Emilion;Red;2150;2150-2011;44,4;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,56
Saint Pierre;2008;Saint Julien;Red;1858;1858-2008;44,44;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,86
Haut Marbuzet;2003;Saint Estephe;Red;1614;1614-2003;44,7;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,51
Clos de l'Oratoire;2006;Saint Emilion;Red;1356;1356-2006;44,9;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,12
Saint Pierre;2011;Saint Julien;Red;1858;1858-2011;44,95;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,75
La Lagune;2007;Haut Medoc;Red;1992;1992-2007;45;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,1
